car,class,discipline,year
Caterham 620R,Caterham GrA,Club,2013
Ginetta G40,Ginetta G40 Cup,Club,2010
Ginetta G40 GT5,GT5,Club,2017
Caterham Superlight (360R),Caterham GrB,Club,2017
Caterham Supersport (360R),Caterham GrB,Club,2017
Volkswagen Polo,TSI Cup,Club,2021
Aussie Racing Camaro,ARC,Club,2013
Caterham Academy (270R),Caterham GrC,Club,2020
Chevrolet Chevette,Copa Classic (Class: B),Club,2019
Fiat Uno,Copa Classic (Class: B),Club,2019
Puma GTE,Copa Classic (Class: B),Club,1981
Volkswagen Gol B,Copa Classic (Class: B),Club,2019
Volkswagen Passat,Copa Classic (Class: B),Club,2019
Puma GTB,Copa Classic (Class: FL),Club,1981
Volkswagen Fusca FL,Copa Classic (Class: FL),Club,2019
Volkswagen Gol FL,Copa Classic (Class: FL),Club,2019
Volkswagen Passat,Copa Classic (Class: FL),Club,2019
Volkswagen Fusca Copa,Copa Fusca,Club,2019
Fiat Uno,Copa Uno,Club,2019
Porsche 962C,Group C,Endurance,1985
Sauber C9,Group C,Endurance,1987
McLaren F1 GTR,GT1,Endurance,1997
Mercedes-Benz CLK LM,GT1,Endurance,1998
Porsche 911 GT1-98,GT1,Endurance,1998
BMW M8 GTE,GTE,Endurance,2017
Chevrolet Corvette C8.R,GTE,Endurance,2020
Porsche 911 RSR-19,GTE,Endurance,2019
Ginetta G58,P1,Endurance,2018
MetalMoro AJR - Chevrolet,P1,Endurance,1991
MetalMoro AJR - Honda,P1,Endurance,1991
MetalMoro AJR - Judd,P1,Endurance,1991
MetalMoro AJR - Nissan,P1,Endurance,1991
Cadillac DPi-V.R,DPi,Endurance,1983
MetalMoro MRX P2 - Ford,P2,Endurance,2019
Sigma P1,P2,Endurance,2017
MetalMoro MRX P3 - Ford,P3,Endurance,2019
MetalMoro MRX P3 - Honda,P3,Endurance,2019
Roco 001,P3,Endurance,2018
MCR S2000,P4,Endurance,2013
MetalMoro MRX P4 - Ford,P4,Endurance,2019
