game_id,canonical_id,source_entry_index,Name,Vehicle Name,ShortVehicleName,XLASTID,VehicleManufacturer,VehicleModel,Vehicle Render Model,Driver Character,Vehicle Physics Model,Cockpit properties,Vehicle Properties,Vehicle Year,Shadow Width,Shadow Length,Shadow Offset Right,Shadow Offset Forward,Shadow Texture,Grid Grouping,Vehicle Class,Vehicle Group,Vehicle Shape,Engine Placement,Number of Exhausts,Exhaust Position 1,Exhaust Target Position 1,Exhaust Smoke Amount Multiplier,Number of Engine Heat,Engine Heat Position 1,Blown Engine Smoke Position,Vehicle Description,AI ONLY,Vehicle Initial Performance Index,Body Upgrades,Cockpit Upgrades,Tire Upgrades,Brake Upgrades,Tier,Price,Region,Country,Paint Shop Data,Min Front Wheel Diameter,Max Front Wheel Diameter,Min Rear Wheel Diameter,Max Rear Wheel Diameter,Max GUI Wheel Angle,PULC Package ID 360,PULC Package ID PS3,Client Vehicle Version,Vehicle Garage Rotation,Left Mirror Pos,Right Mirror Pos,AABBMin,AABBMax,User Overrides Base Helmet,User Overrides Base Outfit,Exhaust Backfire Mesh Cross-Section Scale,Exhaust Backfire Mesh Length Scale,Shadow Offset Up,Exhaust Position 2,Exhaust Target Position 2,PLAYER ONLY,DLC ID,PitSpeedLimit_HighKPH,Is Open Wheeler,LCD Mirror Pos,Scratch Texture,Safety Car Driver Name,Center Mirror Pos,Spawn In Pit,Exhaust Smoke Type,Vehicle Variant Oval,Vehicle Variant Short Oval,Vehicle Variant Speedway,Vehicle Variant Super Speedway,Blown Engine Smoke Scale,Exhaust Position 3,Exhaust Position 4,Exhaust Target Position 3,Exhaust Target Position 4,Livery DLC ID 1,Livery DLC Name 1,Livery DLC ID 2,Livery DLC Name 2,Vehicle Variant Short Track,Vehicle Physics Model Oval,Vehicle Physics Model Short Oval,Vehicle Physics Model Speedway,Vehicle Physics Model Super Speedway,Always Hide Helmet,Vehicle Physics Model Short Track,Exhaust Backfire Visual Effect Type,Manufacturer Liveries Category,CrewPropsCategory,IMSA Cockpit properties,Drafting Contrail Min Speed,Drafting Contrail Max Speed,Drafting Contrail Min Temperature,Drafting Contrail Max Temperature,Drafting Contrail Min Humidity,Drafting Contrail Disable When DRS Opened,Vehicle Variant High Downforce Track,Use Flat Shadow,F1DRSForbiddenLaps,Vertical Exhaust,Livery DLC ID 3,Livery DLC Name 3,Livery DLC ID 4,Livery DLC Name 4,Livery DLC ID 5,Livery DLC Name 5,Livery DLC ID 6,Livery DLC Name 6,Livery DLC ID 7,Livery DLC Name 7,Livery DLC ID 8,Livery DLC Name 8,Livery DLC ID 9,Livery DLC Name 9,Livery DLC ID 10,Livery DLC Name 10,Vehicle Name DLC Override DLC ID,Vehicle Name DLC Override,ShortVehicleName DLC Override,VehicleManufacturer DLC Override,has_headlights,headlights_source,downforce_variant,meta_class,discipline
Formula_Rookie-25,Formula_Rookie-25-fts,580,Formula_Rookie,Formula Rookie,Formula  R,25,SMS,Formula Rookie,Formula_Rookie.vhf,Formula_Rookie,Formula_Rookie,Formula_Rookie_Cockpit.bin,Formula_Rookie,2012,5.50,7.00,0,0,Formula_Rookie_ambsh.dds,16,F5,Openwheel,OpenWheel,Mid-Rear,1,-0.148;0.410;1.622,-0.148;0.410;1.750,0.4,1,0;0.63;0.47,0;0.63;0.47,,false,129,,,,,5,120000,EU,England,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.3500;0.6252;-0.6074,-0.3500;0.6252;-0.6074,-1.5;-0.0;-4.0,1.5;1.5;4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,FTS,Open Wheel
Kart_01-125,Kart_01-125-karting125cc,658,Kart_01,Kart physics test,Kart PT,125,SMS,Kart PT,Kart_01.vhf,Kart_01,Kart_01_test,Kart_01_Cockpit.bin,Kart_01,2016,3.70,4.50,0.0,0.0,Kart_01_ambsh.dds,9,Kart1,Kart,Kart,Mid-Rear,1,0.244;0.266;0.684,0.321;0.266;0.721,0.6,1,0;0.42;0.75,0;0.42;0.75,,false,458,,,,,5,120,EU,England,N/A,13,20,13,20,,,,18,,,,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_KART_USER_OVERRIDE,outfit_KART_USER_OVERRIDE,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Karting 125CC,Karting
Ginetta_G57_LMP3-46,Ginetta_G57_LMP3-46-p3,653,Ginetta_G57_LMP3,Ginetta LMP3,Ginetta LMP3,46,Ginetta,LMP3,Ginetta_G57_LMP3.vhf,Ginetta_G57_LMP3,Ginetta_G57_LMP3,Ginetta_G57_LMP3_Cockpit.bin,Ginetta_G57_LMP3,2016,5.0,7.7,0,0,Ginetta_G57_LMP3_ambshadow.dds,4,LMP3,Prototype,Prototype,Mid,2,0.305;0.307;2.183,0.305;0.336;2.431,0.4,1,0;0.30;2.03,0;0.30;2.03,,false,129,,,,,5,120000,EU,England,N/A,18,19,18,19,20.0,,,1,0.0;3.141592653589;0.0,0.8447;0.8453;-0.6826,-0.8447;0.8453;-0.6826,-1.5;-0.0;-4.0,1.5;1.5;4.0,,,1.20,1.20,0.025,-0.305;0.307;2.183,-0.305;0.336;2.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,P3,Endurance
Sprint_Race-99,Sprint_Race-99-sprintrace,833,Sprint Race,Sprint Race,Sprint Race,99,Sprintrace,Sprintrace,Sprintrace.vhf,Sprintrace,Sprintrace,Sprintrace_Cockpit.bin,Sprintrace,2019,5.0,7.0,0,0,Sprintrace_ambsh.dds,15,SprintRace,GT4,GT,Mid-Rear,2,0.048;0.282;1.94,0.048;0.282;2.19,0.1,1,0;0.66;-1.533,0;0.66;-1.533,,false,51,,,,,5,18500,EU,Germany,N/A,13,20,13,20,25.0,,,1,0.0;3.141592653589;0.0,0.850;0.767;-0.622,-0.850;0.767;-0.622,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Modern_STOCK_USER_OVERRIDE,outfit_GT_Modern_STOCK_USER_OVERRIDE,,,,-0.048;0.282;1.94,-0.048;0.282;2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Sprint Race,Special
F301-13,F301-13-f3,496,F301,Dallara F301,F301,13,Dallara,F301,F301.vhf,F301,F301,F301_Cockpit.bin,F301,2012,5.00,7.00,0,0,F301_ambsh.dds,16,F-3,Openwheel,OpenWheel,Mid-Rear,1,-0.305;0.348;1.033,-0.305;0.348;1.233,0.04,1,0;0.677;0.655,0;0.677;0.655,,false,129,,,,,5,120000,SA,Brazil,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.360;0.668;-0.474,-0.360;0.668;-0.474,-1.5;-0.0;-4.0,1.5;1.5;4.0,FORMULA_MODERN_USER_OVERRIDE,outfit_FORMULA_MODERN_USER_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,F3,Open Wheel
Chevette-12,Chevette-12-copaclassicclassb,473,Chevette,Chevrolet Chevette,Chevette,12,Chevrolet,Chevette,Chevette.vhf,Chevette,Chevette,Chevette_Cockpit.bin,Chevette,1981,5.0,7.0,0,0,Chevette_ambsh.dds,28,CopaClassicB,GT,GT,Front,1,-0.325;0.293;1.598,-0.325;0.293;1.854,0.6,1,0;0.675;-1.579,0;0.675;-1.579,,false,107,,,,,5,1,SA,Brazil,N/A,13,20,13,20,,,,1,0.0;3.141592653589;0.0,0.842;0.925;-0.804,-0.842;0.925;-0.804,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Club_USER_OVERRIDE,outfit_GT_Club_USER_OVERRIDE,2.125,2.5,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,meta-class-default,standard,Copa Classic (Class: B),Club
Rally_Kart-290,Rally_Kart-290-karting125cc,816,Rally_Kart,Kart Cross,Kart X,290,Reiza,Rally Kart,Rally_Kart.vhf,Rally_Kart,Cross_Kart,Rally_Kart_Cockpit.bin,Rally_Kart,2016,5.0,7.0,0,0,Rally_Kart_ambsh.dds,26,Kartcross,WRX,WRX,Mid-Rear,1,0.0;0.585;1.156,0.0;0.707;1.456,0.4,1,0;0.6;-0.6,0;0.6;-0.6,,false,51,,,,,5,18500,EU,Germany,N/A,13,20,13,20,25.0,,,1,0.0;3.141592653589;0.0,0.399;0.754;-0.699,-0.399;0.754;-0.699,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Modern_STOCK_USER_OVERRIDE,outfit_GT_Modern_STOCK_USER_OVERRIDE,,,,,,,adrenalinept1pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Karting 125CC,Karting
F309-14,F309-14-f3,497,F309,Dallara F309,F309,14,Dallara,F309,F309.vhf,F309,F309,F309_Cockpit.bin,F309,2012,5.00,7.00,0,0,F309_ambsh.dds,15,F-3,Openwheel,OpenWheel,Mid-Rear,1,-0.29;0.279;0.967,-0.29;0.405;1.121,0.04,1,0;0.677;0.655,0;0.677;0.655,,false,129,,,,,5,120000,SA,Brazil,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.375;0.675;-0.532,-0.375;0.675;-0.532,-1.5;-0.0;-4.0,1.5;1.5;4.0,FORMULA_MODERN_USER_OVERRIDE,outfit_FORMULA_MODERN_USER_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,F3,Open Wheel
Caterham_Superlight-10,Caterham_Superlight-10-caterhamgrb,471,Caterham_Superlight,Caterham Superlight,Caterham Superlight,10,Caterham,Caterham_Superlight,Caterham_Superlight.vhf,Caterham_Superlight,Caterham_Superlight,Caterham_Superlight_Cockpit.bin,Caterham_Superlight,2019,5.00,7.70,0,0,Caterham_Superlight_ambsh.dds,22,Cat_Superlight,Openwheel,OpenWheel,Mid-Front,1,-0.762;0.168;0.685,-0.954;0.091;0.779,0.2,1,0;0.681;0.456,0;0.681;0.456,,false,129,,,,,5,120000,EU,UK,N/A,13,17,13,17,20.0,,,1,0.0;3.141592653589;0.0,0.616;0.791;0.156,-0.616;0.791;0.156,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Club_USER_OVERRIDE,outfit_GT_Club_USER_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Caterham GrB,Club
Mini_RX-289,Mini_RX-289-sprintrace,768,Mini_RX,MINI Countryman R60 RX,MINI R60,289,Mini,Mini RX,Mini_RX.vhf,Mini_RX,Mini_RX,Mini_RX_Cockpit.bin,Mini_RX,2016,5.0,7.0,0,0,Mini_RX_ambsh.dds,26,RX,WRX,WRX,Front,2,0.500;0.188;1.992,0.500;0.188;2.1,0.4,1,0;0.6;-0.6,0;0.6;-0.6,,false,51,,,,,5,18500,EU,Germany,N/A,13,20,13,20,25.0,,,1,0.0;3.141592653589;0.0,0.399;0.754;-0.699,-0.399;0.754;-0.699,-1.5;-0.0;-4.0,1.5;1.5;4.0,helmet_GT_Modern_STOCK_USER_OVERRIDE,outfit_GT_Modern_STOCK_USER_OVERRIDE,,,,-0.500;0.188;1.992,-0.500;0.188;2.1,,adrenalinept1pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,meta-class-default,standard,Sprint Race,Special
