game_id,source_entry_index,Name,TrackName,ShortTrackName,XLASTID,ScenegraphFile,Year,Length,Location,Country,TrackGradeFilter,Track Type,GroundCoverFolder,InstTexturePakFilename,Allowed Weather,Allowed TimeOfDay,TimeOfDay Group,PreRace Allowed (true/false),Environment File,Environment Time,Dusk Race,Dusk File,Dusk Time,Event Types,Setup group,Sun Angle(DEG),Track Surface,Track Group,Track Description,LeaderboardID,Max AI participants,Class,DirtSkidmarksOverride,DrySkidmarksOverride,GrassSkidmarksOverride,GravelSkidmarksOverride,SandSkidmarksOverride,GravelParticlesOverride,GrassParticlesOverride,LeafParticlesOverride,Uses Reflection Flag,Track_Location,Track_Variation,AIW Override,Rolling Start Allowed,ZoneName,AI drift score min,AI drift score max,Client Track Version,Order Override,Track_Longitude,Track_Latitude,Track_Altitude,Track_TimeZone,Number Of Turns,Track_Rotation_Offset,Race_Date_Year,Race_Date_Month,Race_Date_Day,Track_Climate,StaticEnvMapLocation,StaticConvolveEnvMapLocation,PreRace Script name,PreRace Script length,PostRace Script name,Track Properties File,Crowd Pak Filename,Weather Weights,PitSpeedLimit_HighKPH,Rolling Start,TrackCentre,Downforce,AI Exclude Filter,AI Grip,Post race position,Post race orientation,Post race steering,Time Attack duration short,Time Attack duration medium,Time Attack duration long,CloudHorizonOffset,AutograssMaterial,AutograssDensities,AutograssHeights,ScalarAIBlueFlagDistanceMoveLane,ScalarBlueFlagMinDistBack,ScalarAILappedCarDistanceAhead,ScalarAISlowCarDistanceAhead,ScalarAISteerScalarCornerCut,ScalarAIPassComplexityCutoffMaxAggression,ScalarAIPassComplexityCutoffMinAggression,ScalarAITTCStraightOvertakeDist,ScalarAITTCStraightOvertakeTime,AIOvertakeInsideEnabled,AIDirtyAirBehaviourEnabled,ScalarAIMaxDraftHuntingDist,ScalarAIBlueFlagSpeedReductions,ScalarAIColdTyreDists,PresetFilter,MaxPuddleDepthDriven,MaxPuddleDepthRoad,MaxPuddleDepthOffroad,AIWidthScalarToReduceCorridors,AIWidthScalarToReduceCorridorsFullThrottle,AIDisableCorridorsReductionAgainstLapped,AIDisableCorridorsReductionAgainstHuman,AIScalarForFuelLaptimeLoss,AI Extra Wall Buffer,DirtParticlesOverride,DLC ID,Is Clockwise,GripBase,GripRange,Oval Type,AIPitStopEstimationTimeScalar,FogMaxDistanceScalar,trackgradefilter,CutTrackFraction,AI Pit Exit Speed Scalar,RollingStartPoleSide,IMSA,Long Overlapping Pitline,Drs Zone 1 Detection Number,Drs Zone 2 Detection Number,Drs Zone 3 Detection Number,ForceSessionMeshesVisible,display_name,display_configuration,display_category,downforce_variant
Bannochbrae1-5,55,Bannochbrae1,Bannochbrae_Road_Circuit,Bannochbrae,5,Bannochbrae1.sgx,2017,7282,Scotland,UK,,Circuit,Bannochbrae,Bannochbrae,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,Bannochbrae1,true,Bannochbrae3.wdf,day,false,,,!RallyCross,Circuit,0,Tarmac,Bannochbrae,,58,19,"Race,Street",,,,,,,,,true,Bannochbrae,Road_Circuit,,true,Bannochbrae,100,200,2,1,-4.26561,55.44626,45.000,0,25,0.0,2017,4,3,Scotland,16.868; -38.006; 1.928; 1.0,16.868; -38.006; 1.928; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,bannochbrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bannochbrae,Road Circuit,Bannochbrae,standard
Indianapolis_Oval-44,147,Indianapolis_Oval,Indianapolis_Motor_Speedway,Indianapolis_Oval,44,Indianapolis_Oval.sgx,2017,4023,USA,US,,Oval,,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,Indianapolis,true,Indianapolis_Oval.wdf,day,false,,,!RallyCross,Oval,0.0,Tarmac,Indianapolis,,58,31,"Race,Street",,,,,,,,,false,Indianapolis,Oval,,true,HPOval,100,200,1,1,-86.235301,39.795354,-94.974,-5,4,0.0,2017,5,24,North_USA,247.835022; 224.051971; -575.899231; 1.0,247.835022; 224.051971; -575.899231; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,indianapolis,"10,20,20,10,10,4,2,1,1,0.5,0.5,0.0,0.0,0.5,0.0",60.0,true,362646.000; 0.000; 185787.000,Low,DOWNFORCE:High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis,Oval,Indianapolis,low
California_Highway_Full-14,80,California_Highway_Full,California_Highway_Full,CA_Highway,14,California_Highway.sgx,2017,20648,USA,US,,Point to Point,CaliforniaHighway,,All,Day,California_Highway,false,California_Highway.wdf,day,true,California_Highway.wdf,dusk,!RallyCross,Circuit,0,Tarmac,California_Highway,,106,31,All,,,,,,,,,true,California_Highway,Full,,,Azure_Coast,100,200,1,1,-121.8042,36.2694,0.000,-8,107,0.0,2017,8,5,California,-1467.933960; 122.646515; 973.588074; 1.0,-1467.933960; 122.646515; 973.588074; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,,,,false,-1590.590;  0.000; 3699.190; 1.0,,,1,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,-1800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California Highway,Full,California Highway,standard
California_Highway_Stage2-12,83,California_Highway_Stage2,California_Highway_Stage2,CA_Highway_S2,12,California_Highway_Stage2.sgx,2017,8152,USA,US,,Point to Point,CaliforniaHighway,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,California_Highway,false,California_Highway.wdf,day,true,California_Highway.wdf,dusk,!RallyCross,Circuit,0,Tarmac,California_Highway,,106,31,All,,,,,,,,,true,California_Highway,Stage2,,,California_Highway,100,200,1,3,-121.8042,36.2694,0.000,-8,24,0.0,2017,8,5,California,2181.318115; 30.572807; 2737.349609; 1.0,2181.318115; 30.572807; 2737.349609; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,,,,false,20.560;  0.000; 4322.650; 1.0,,,1,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,-1800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California Highway,Stage 2,California Highway,standard
California_Highway_Reverse-10,81,California_Highway_Reverse,California_Highway_Reverse,CA_Highway_Rev,10,California_Highway_Reverse.sgx,2017,20648,USA,US,,Point to Point,CaliforniaHighway,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,California_Highway,false,California_Highway.wdf,day,true,California_Highway.wdf,dusk,!RallyCross,Circuit,0,Tarmac,California_Highway,,106,31,All,,,,,,,,,true,California_Highway,Reverse,,,California_Highway,100,200,1,5,-121.8042,36.2694,0.000,-8,107,0.0,2017,8,5,California,-1467.933960; 122.646515; 973.588074; 1.0,-1467.933960; 122.646515; 973.588074; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,,,,false,-1590.590;  0.000; 3699.190; 1.0,,,1,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,-1800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California Highway,Reverse,California Highway,standard
California_Highway_Stage1-11,82,California_Highway_Stage1,California_Highway_Stage1,CA_Highway_S1,11,California_Highway_Stage1.sgx,2017,6624,USA,US,,Point to Point,CaliforniaHighway,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,California_Highway,false,California_Highway.wdf,day,true,California_Highway.wdf,dusk,!RallyCross,Circuit,0,Tarmac,California_Highway,,106,31,All,,,,,,,,,true,California_Highway,Stage1,,,California_Highway,100,200,1,2,-121.8042,36.2694,0.000,-8,68,0.0,2017,8,5,California,-1467.933960; 122.646515; 973.588074; 1.0,-1467.933960; 122.646515; 973.588074; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,,,,false,143.890; 0.000; 1455.900; 1.0,,,1,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,-1800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California Highway,Stage 1,California Highway,standard
California_Highway_Stage3-13,84,California_Highway_Stage3,California_Highway_Stage3,CA_Highway_S3,13,California_Highway_Stage3.sgx,2017,5856,USA,US,,Point to Point,CaliforniaHighway,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,California_Highway,false,California_Highway.wdf,day,true,California_Highway.wdf,dusk,!RallyCross,Circuit,0,Tarmac,California_Highway,,106,31,All,,,,,,,,,true,California_Highway,Stage3,,,California_Highway,100,200,1,4,-121.8042,36.2694,0.000,-8,15,0.0,2017,8,5,California,-2241.767090; 43.580624; 7338.517578; 1.0,-2241.767090; 43.580624; 7338.517578; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,,,,false,-2213.180;  0.000; 6990.790; 1.0,,,1,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,-1800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California Highway,Stage 3,California Highway,standard
Nurburgring_GP-70,216,Nurburgring_GP,Nurburgring_GP,Nurburgring_GP,70,Nurburgring_GP.sgx,2020,5148,Germany,DE,Grade1,Circuit,Nurburgring_GP,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",All,Nurburgring,true,Nurburgring.wdf,day,False,,,!RallyCross,Circuit,0,Tarmac,Nurburgring,,01,29,"Race,Street",,,,,,,,,true,NurburgringSMS,GP,,True,,100,200,1,3,6.942068,50.330838,397,1,17,0.0,2020,9,1,europe,0.000; 0.000; 0.000; 1.0,0.000; 0.000; 0.000; 1.0,,,default_post_race.script,TrackProperties,,"10,20,20,10,10,4,2,1,1,0.5,0.5,0.0,0.0,0.5,0.0",60.0,,0.000; 0.000; 0.000; 1.0,,,1.25,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nürburgring,GP,Nürburgring,standard
Nurburgring_SprintAlt-73,219,Nurburgring_SprintAlt,Nurburgring_SprintAlt,Nurburgring_SprintAlt,73,Nurburgring_SprintAlt.sgx,2020,3123,Germany,DE,Grade3,Circuit,Nurburgring_SprintAlt,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",All,Nurburgring,true,Nurburgring.wdf,day,False,,,!RallyCross,Circuit,0,Tarmac,Nurburgring,,01,29,"Race,Street",,,,,,,,,true,NurburgringSMS,Sprint,,True,,100,200,1,5,6.942068,50.330838,397,1,11,0.0,2020,9,1,europe,0.000; 0.000; 0.000; 1.0,0.000; 0.000; 0.000; 1.0,,,default_post_race.script,TrackProperties,,"10,20,20,10,10,4,2,1,1,0.5,0.5,0.0,0.0,0.5,0.0",60.0,,-569.705; 0.000; 711.208; 1.0,,,1.50,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nürburgring,Sprint,Nürburgring,standard
Bologna-6,65,Bologna,Autodromo_Internazionale_Enzo_E_Dino_Ferrari_Imola,Imola,6,Bologna.sgx,2017,4909,Italy,IT,,Circuit,Bologna,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",Day,imola,true,Bologna.wdf,day,true,Bologna.wdf,dusk,!RallyCross,Circuit,-90,Tarmac,Imola,,33,31,"Race,Street",,,,,,,,,true,Imola,GP,,true,Imola,100,200,2,1,11.71196,44.34432,55.154,1,17,1.9,2017,4,22,Mediterranean,559.690735; -29.164179; 501.467499; 1.0,559.690735; -29.164179; 501.467499; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,imola,,,,-270.000; 0.000; -34.000; 1.0,,,1,234.735;0.677556;150.278,-0.0910598;0.57603;-0.0204309,1.2,3,5,7,-1500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imola,GP,Imola,standard
California_Horse_Thief_Mile-15,85,California_Horse_Thief_Mile,Willow_Springs_Horse_Thief_Mile,Willow_Springs_HTC,15,California_Horse_Thief_Mile.sgx,2017,1600,USA,US,,Circuit,California_Raceway,California_Raceway,All,Day,California_Horse_Thief_Mile,true,California_Horse_Thief_Mile.wdf,day,true,California_Horse_Thief_Mile.wdf,dusk,!RallyCross,Circuit,0,Tarmac,Willow_Springs,"Horse Thief Mile is a 1-mile road course with 11 turns featuring major elevation changes, tight turns and canyonn like surroundings",87,23,"Race,Street",,,,,,,,,true,Willow_Springs,Horse_Thief_Mile,,true,Willow_Springs,100,200,1,2,-118.26403,34.87793,384.588,-8,11,32.8,2017,5,3,California_Desert,113.536438; 51.293713; -2.005217; 1.0,113.536438; 51.293713; -2.005217; 1.0,camera_pre_race.script,5,default_post_race.script,TrackProperties,california,,,,-16.801; 0.000; 12.428; 1.0,,,1,-665.819;85.7367;157.133,-0.0397129;-1.64479;0.107376,1.2,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willow Springs,Horse Thief Mile,Willow Springs,standard
Nordschleife-69,199,Nordschleife,Nordschleife,Nordschleife,69,Nordschleife.sgx,2020,20832,Germany,DE,Grade3,Circuit,Nordschleife,,"Weather_Clear,Weather_LightCloud,Weather_MedCloud,Weather_HeavyCloud,Weather_Overcast,Weather_LightRain,Weather_Rainy,Weather_Stormy,Weather_SuperStorm,Weather_Foggy,weather_fog_with_rain,weather_heavy_fog,weather_heavy_fog_with_rain,Weather_Hazy,Weather_Random",All,Nurburgring,true,Nurburgring.wdf,day,False,,,!RallyCross,Circuit,0,Tarmac,Nurburgring,,01,29,"Race,Street",,,,,,,,,true,NurburgringSMS,Nordschleife,,True,,100,200,1,1,6.942068,50.330838,397,1,73,0.0,2020,9,1,europe,0.000; 0.000; 0.000; 1.0,0.000; 0.000; 0.000; 1.0,,,default_post_race.script,TrackProperties,,"10,20,20,10,10,4,2,1,1,0.5,0.5,0.0,0.0,0.5,0.0",60.0,,0.000; 0.000; 0.000; 1.0,,,1.20,0.0; 0.0; 0.0,0.0; 0.0; 0.0,1.2,5,10,20,0.000,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,true,-1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nürburgring,Nordschleife,Nürburgring,standard
