kind,legacy_id,canonical_id,status
car,Caterham GrA-Caterham 620R,Caterham_620R-8-caterhamgra-Club-1-Caterham GrA,canonical
car,Ginetta G40 Cup-Ginetta G40,Ginetta_G40-131-gt5-Club-1-Ginetta G40 Cup,canonical
car,GT5-Ginetta G40 GT5,Ginetta_G40-131-gt5-Club-1-GT5,canonical
car,Caterham GrB-Caterham Superlight (360R),Caterham_Superlight-10-caterhamgrb-Club-2-Caterham GrB,canonical
car,Caterham GrB-Caterham Supersport (360R),Caterham_Supersport-11-caterhamgrb-Club-2-Caterham GrB,canonical
car,TSI Cup-Volkswagen Polo,VW_Polo-149-tsicup-Club-2-TSI Cup,canonical
car,ARC-Aussie Racing Camaro,,legacy-fallback
car,Caterham GrC-Caterham Academy (270R),Caterham_Academy-9-caterhamgrc-Club-3-Caterham GrC,canonical
car,Copa Classic (Class: B)-Chevrolet Chevette,Chevette-12-copaclassicclassb-Club-4-Copa Classic (Class: B),canonical
car,Copa Classic (Class: B)-Fiat Uno,,legacy-fallback
car,Copa Classic (Class: B)-Puma GTE,Puma_GTE-94-copaclassicclassb-Club-4-Copa Classic (Class: B),canonical
car,Copa Classic (Class: B)-Volkswagen Gol B,,legacy-fallback
car,Copa Classic (Class: B)-Volkswagen Passat,,legacy-fallback
car,Copa Classic (Class: FL)-Puma GTB,Puma_GTB-93-copaclassicclassfl-Club-4-Copa Classic (Class: FL),canonical
car,Copa Classic (Class: FL)-Volkswagen Fusca FL,,legacy-fallback
car,Copa Classic (Class: FL)-Volkswagen Gol FL,,legacy-fallback
car,Copa Classic (Class: FL)-Volkswagen Passat,,legacy-fallback
car,Copa Fusca-Volkswagen Fusca Copa,,legacy-fallback
car,Copa Uno-Fiat Uno,,legacy-fallback
car,Group C-Porsche 962C,Porsche_962C-89-groupc-Endurance-1-Group C,canonical
car,Group C-Sauber C9,,legacy-fallback
car,GT1-McLaren F1 GTR,McLaren_F1_GTR-130-gt1-Endurance-2-GT1,canonical
car,GT1-Mercedes-Benz CLK LM,Mercedes_CLK-LM-68-gt1-Endurance-2-GT1,canonical
car,GT1-Porsche 911 GT1-98,Porsche_911_GT1_98-88-gt1-Endurance-2-GT1,canonical
car,GTE-BMW M8 GTE,BMW_M8_GTE-143-gte-Endurance-2-GTE,canonical
car,GTE-Chevrolet Corvette C8.R,Chevrolet_Corvette_C8R-142-gte-Endurance-2-GTE,canonical
car,GTE-Porsche 911 RSR-19,Porsche_911_RSR_74-147-gtclassics-Endurance-2-GTE,canonical
car,P1-Ginetta G58,Ginetta_G58-47-p1-Endurance-2-P1,canonical
car,P1-MetalMoro AJR - Chevrolet,MetalMoro_AJR_Chevy_V8-73-p1-Endurance-2-P1,canonical
car,P1-MetalMoro AJR - Honda,MetalMoro_AJR_Honda-71-p1-Endurance-2-P1,canonical
car,P1-MetalMoro AJR - Judd,MetalMoro_AJR_Judd-72-p1-Endurance-2-P1,canonical
car,P1-MetalMoro AJR - Nissan,MetalMoro_AJR_V6_Turbo-70-p1-Endurance-2-P1,canonical
car,DPi-Cadillac DPi-V.R,Cadillac_DPi-VR-145-dpi-Endurance-3-DPi,canonical
car,P2-MetalMoro MRX P2 - Ford,,legacy-fallback
car,P2-Sigma P1,Sigma_P1-98-p2-Endurance-3-P2,canonical
car,P3-MetalMoro MRX P3 - Ford,,legacy-fallback
car,P3-MetalMoro MRX P3 - Honda,,legacy-fallback
car,P3-Roco 001,Roco_001-96-p3-Endurance-4-P3,canonical
car,P4-MCR S2000,MCR_Sports_2000-66-p4-Endurance-5-P4,canonical
car,P4-MetalMoro MRX P4 - Ford,,legacy-fallback
car,GT3-BMW M6 GT3,BMW_M6_GT3-124-gt3-GT-1-GT3,canonical
car,GT3-McLaren 720S,,legacy-fallback
car,GT3-Mercedes-AMG GT3,Mercedes_AMG_GT3-67-gt3-GT-1-GT3,canonical
car,GT3-Porsche 911 GT3 R,Porsche_991_GT3R-91-gt3-GT-1-GT3,canonical
car,GT4-BMW M4 GT4,BMW_M4_GT4-144-gt4-GT-2-GT4,canonical
car,GT4-Camaro GT4.R,Camaro_GT4R-121-gt4-GT-2-GT4,canonical
car,GT4-Ginetta G55 GT4,Ginetta_G55_GT4_2-129-gt4-GT-2-GT4,canonical
car,GT4-McLaren 570S,McLaren_570S_GT4-62-gt4-GT-2-GT4,canonical
car,GT4-Porsche Cayman GT4 CS MR,,legacy-fallback
car,Carrera Cup-Porsche 911 GT3 Cup 3.8,Porsche_991_GT3-90-carreracup-GT-3-Carrera Cup,canonical
car,Carrera Cup-Porsche 911 GT3 Cup 4.0,Porsche_991_GT3_2-122-carreracup-GT-3-Carrera Cup,canonical
car,Ginetta G55 Supercup-Ginetta G55 SuperCup,,legacy-fallback
car,Copa Montana-Chevrolet Montana,,legacy-fallback
car,GT5-Puma P052,Puma_P052-95-gt5-GT-4-GT5,canonical
car,Super Kart-Super Kart 250cc,Superkart-102-superkart-Karting-1-Super Kart,canonical
car,Karting 125CC-Kart 125cc 2STROKE,,legacy-fallback
car,Karting GX390-Kart GX390 Race,,legacy-fallback
car,Karting Shifter-Kart 125cc Shifter,,legacy-fallback
car,Karting Rental-Kart GX390 Rental,,legacy-fallback
car,Formula Ultimate Gen1-Formula Ultimate 2019,,legacy-fallback
car,Formula Ultimate Gen2-Formula Ultimate 2022,,legacy-fallback
car,Formula Reiza-Formula Reiza (Red Bull Racing RB7),,legacy-fallback
